,date,location,url,description,lineup
Southside Festival 2024,Friday 21 June 2024 – Sunday 23 June 2024,Southside,https://www.songkick.com/festivals/730-southside/id/41476276-southside-festival-2024,,"['Ed Sheeran', 'Simple Plan', 'The Hives', 'The Gaslight Anthem', 'Fontaines D.C.', 'The Last Dinner Party', 'Giant Rooks', 'Danko Jones', 'Cari Cari', 'The Mysterines', 'Grossstadtgeflüster', 'Querbeat', 'Bruckner', 'Paula Carolina', 'Roy Bianco & Die Abbrunzati Boys', 'ENNIO (DE)', 'Malastaire', 'FLØRE (Official)']"
Grey Scale Festival 2024,Saturday 22 June 2024,Muffatwerk,https://www.songkick.com/festivals/3650471-grey-scale/id/41793855-grey-scale-festival-2024,,"['The Human League', 'Molly Nilsson', 'Ceremony', 'Kite', 'Schwefelgelb', 'Korine', 'Die Selektion', 'Sarin', 'Skemer', 'GENERAL DYNAMICS', 'Kim Peers']"
Outdoor,Saturday 07 September 2024 – Sunday 08 September 2024,Olympiapark München,https://www.songkick.com/festivals/3305963-superbloom/id/41784974-superbloom-2024,,"['Milky Chance', 'Loyle Carner', 'Loreen', 'Kasi (DE)']"
Deichbrand Festival 2024,Thursday 18 July 2024 – Sunday 21 July 2024,Seeflughafen Cuxhaven/Nordholz,https://www.songkick.com/festivals/87901-deichbrand/id/41508799-deichbrand-festival-2024,,"['Kings of Leon', 'Peter Fox', 'Alligatoah', 'Clueso', 'Trettmann', 'BHZ', '257ers', 'Donots', 'Blind Channel', 'Lostboi Lino', 'Aka Aka', 'Tream', 'Betontod', 'Sondaschule', 'Blümchen', 'Il Civetto', 'Oskar Haag', 'KYTES (GER)', 'Rogers (DE)']"
Greenfields Open Air Festival 2024,Saturday 20 July 2024,Galopprennbahn Riem,https://www.songkick.com/festivals/3429601-greenfields-open-air/id/41667567-greenfields-open-air-festival-2024,,['Paul Kalkbrenner']
Amphi Festival 2024,Friday 26 July 2024 – Sunday 28 July 2024,Theater am Tanzbrunnen,https://www.songkick.com/festivals/33976-amphi/id/41426995-amphi-festival-2024,,"['Front Line Assembly', 'And One', 'Blutengel', 'Project Pitchfork', 'Diary of Dreams', 'Minuit Machine', 'ULTRA SUNN', 'The Other', 'Neuroticfish', 'Agent Side Grinder', 'Kirlian Camera', 'Solar Fake', 'Ost+Front', 'A PROJECTION', 'Principe Valiente']"
SonneMondSterne.XXVI 2024,Friday 09 August 2024 – Sunday 11 August 2024,Saalburg Beach,https://www.songkick.com/festivals/3637382-sonnemondsternexxvi/id/41681502-sonnemondsternexxvi-2024,,"['Calvin Harris', 'Fisher', 'Charlotte de Witte', 'Kontra K', 'Amelie Lens', 'Neelix', 'Gestört aber Geil', 'HBz', 'Die Gebrüder Brett']"
Mera Luna Festival 2024,Saturday 10 August 2024 – Sunday 11 August 2024,M’era Luna,https://www.songkick.com/festivals/981-mera-luna/id/41374595-mera-luna-festival-2024,,"['Front 242', 'Oomph!', 'London After Midnight', 'Lord of the Lost', 'Suicide Commando', 'Assemblage 23', 'Die Krupps', 'Saltatio Mortis', 'Funker Vogt', 'Lacrimas Profundere', 'Schandmaul', 'S.P.O.C.K', 'ASP', 'Das Ich', 'Hämatom', 'SITD', 'Dartagnan', 'Stahlmann', 'X-Rx', 'Welle: Erdball', 'Schwarzer Engel', 'UNIVERSUM25', 'Eden Weint Im Grab', 'Die Herren Wesselsky']"
Reload-Festival 2024,Thursday 15 August 2024 – Saturday 17 August 2024,"Festivalgelände ""Im Langen Lande""",https://www.songkick.com/festivals/74056-reload/id/41618357-reloadfestival-2024,,"['Korn', 'Motionless In White', 'Dragonforce', 'Amon Amarth', 'Clutch', 'Hatebreed', 'Emmure', 'Behemoth', 'Millencolin', 'Blind Guardian', 'After the Burial', 'Paradise Lost', 'Mushroomhead', 'SOiL', 'Thrown', 'Zeal and Ardor', 'Dead Poet Society', 'Madball', 'Sylosis', 'Paleface Swiss', 'Cro-Mags', 'VUKOVI', 'Walls of Jericho', 'Any Given Day', ""Fiddler's Green"", 'Lionheart', 'Future Palace', 'Emil Bulls', 'Green Lung', 'Knorkator', 'Gutalax', 'Bokassa', 'The Butcher Sisters', 'Iron Walrus']"
OFF DAYS 2024,Tuesday 20 August 2024,Kindl-Bühne Wuhlheide,https://www.songkick.com/festivals/3666661-off-days/id/41935147-off-days-2024,,"['Róisín Murphy', 'Peaches']"
